image,accepted,label,confidence,text,scale,attempt_count,bbox
close_auto_0000.png,True,FOOD,0.81977,食品 / 物块,1.0,1,"[187, 193, 47, 26]"
close_auto_0001.png,True,FOOD,0.99371,食品 / 物块,1.0,1,"[399, 226, 47, 26]"
close_auto_0002.png,True,ELECTRONICS,0.99991,电子 / 物块 / 口,1.0,1,"[411, 278, 44, 25]"
close_auto_0003.png,True,ELECTRONICS,0.99986,电子 / 物块,1.0,1,"[194, 236, 42, 24]"
close_auto_0004.png,True,FOOD,0.99964,食品 / 物块,1.0,1,"[292, 162, 43, 24]"
close_auto_0005.png,True,FOOD,0.99796,食品 / 物块,1.0,1,"[355, 129, 42, 25]"
close_auto_0006.png,True,DAILY,0.99932,日用 / 物块 / 口,1.0,1,"[319, 141, 40, 21]"
close_auto_0007.png,True,DAILY,0.99701,口 / 日用 / 物块,1.0,1,"[169, 308, 50, 29]"
close_auto_0008.png,True,ELECTRONICS,0.99986,电子 / 物块,1.0,1,"[182, 225, 45, 26]"
close_auto_0009.png,True,FOOD,0.9997,食品 / 物块,1.0,1,"[322, 169, 44, 28]"
close_auto_0010.png,True,DAILY,0.99856,日用 / 物块,1.0,1,"[383, 220, 45, 25]"
close_auto_0011.png,True,DAILY,0.99654,日用 / 物块,1.0,1,"[424, 219, 46, 26]"
close_auto_0012.png,True,DAILY,0.99901,日用 / 物块,1.0,1,"[203, 183, 44, 25]"
close_auto_0013.png,True,ELECTRONICS,0.99991,电子 / 物块 / 口,1.0,1,"[158, 242, 44, 26]"
close_auto_0014.png,True,DAILY,0.99951,日用 / 物块,1.0,1,"[393, 145, 40, 21]"
close_auto_0015.png,True,ELECTRONICS,0.99995,电子 / 物块,1.0,1,"[149, 141, 37, 19]"
close_auto_0016.png,True,DAILY,0.99754,日用 / 物块,1.0,1,"[164, 158, 44, 26]"
close_auto_0017.png,True,FOOD,0.99917,食品 / 口 / 物块,1.0,1,"[71, 288, 47, 29]"
close_auto_0018.png,True,ELECTRONICS,0.9999,电子 / 物块,1.0,1,"[236, 283, 45, 26]"
close_auto_0019.png,True,ELECTRONICS,0.99992,电子 / 物块 / 口,1.0,1,"[259, 232, 42, 24]"
close_auto_0020.png,True,ELECTRONICS,0.99994,电子 / 物块 / 口,1.0,1,"[174, 146, 38, 22]"
close_auto_0021.png,True,ELECTRONICS,0.99982,电子 / 物块,1.0,1,"[261, 192, 39, 23]"
close_auto_0022.png,True,DAILY,0.9977,日用 / 物块 / 口,1.0,1,"[246, 197, 47, 27]"
close_auto_0023.png,True,ELECTRONICS,0.99993,电子 / 物块,1.0,1,"[458, 295, 48, 29]"
close_auto_0024.png,True,FOOD,0.99897,食品 / 物块,1.0,1,"[489, 266, 51, 28]"
close_auto_0025.png,True,FOOD,0.79066,食品 / 物块 / 口,1.0,1,"[228, 141, 40, 21]"
close_auto_0026.png,True,FOOD,0.99816,食品 / 物块,1.0,1,"[135, 286, 50, 32]"
close_auto_0027.png,True,FOOD,0.99898,食品 / 物块,1.0,1,"[452, 201, 47, 24]"
close_auto_0028.png,True,FOOD,0.99951,食品 / 物块 / 口,1.0,1,"[451, 191, 48, 26]"
close_auto_0029.png,True,ELECTRONICS,0.99993,电子 / 物块 / 口,1.0,1,"[250, 226, 41, 24]"
close_auto_0030.png,True,ELECTRONICS,0.99994,电子 / 物块 / 口,1.0,1,"[201, 259, 45, 27]"
close_auto_0031.png,True,ELECTRONICS,0.99992,电子 / 物块,1.0,1,"[330, 133, 36, 19]"
close_auto_0032.png,True,DAILY,0.9978,日用 / 物块,1.0,1,"[204, 257, 51, 30]"
close_auto_0033.png,True,DAILY,0.9987,日用 / 物块,1.0,1,"[326, 231, 49, 28]"
